STATE,COUNTY,Cardiovascular diseases,Chronic respiratory diseases,HIV/AIDS and tuberculosis,Nutritional deficiencies,Age, Civilian_labor_force_2014 , Employed_2014 , Unemployed_2014 ,Unemployment_rate_2014,Crime_rate,Total; Estimate;,Median income (dollars); Estimate;
Virginia,Prince William,194.5944318,41.90156444,1.235306826,1.094454913,80.99269628,"231,813","220,441","11,372",4.9,3062.71421,137434,92104
Virginia,Roanoke,239.1155679,49.47047469,0.890415029,1.777048641,79.64929444,"49,979","47,689","2,290",4.6,3458.197901,38879,62091
Virginia,Rockingham,208.7089879,45.28896874,0.641836819,0.8249192479999999,80.61943171,"40,378","38,483","1,895",4.7,1994.01029,30333,56112
Virginia,Spotsylvania,231.9051281,50.38590782,1.36343367,1.017487975,79.16606404,"64,117","60,640","3,477",5.4,3422.632938,43049,75686
Virginia,Stafford,210.4667612,41.61676372,0.848288706,0.961681622,80.09974155,"66,681","63,121","3,560",5.3,3413.78639,44246,93422
Virginia,York,246.9998238,49.48945912,3.433727515,2.29988622,78.26346269999998,"31,832","30,235","1,597",5.0,3667.878278,23533,81636
Washington,Benton,221.3745577,56.47569345,0.511197693,1.1868284059999998,79.95735591,"89,907","83,182","6,725",7.5,5188.920909,67815,58093
Washington,Chelan,210.9656238,48.57519056,0.561439741,0.7409806170000001,80.29261507,"41,171","38,639","2,532",6.1,4534.366288,27087,50177
Washington,Clallam,226.6532067,48.17690511,0.774760036,0.606502227,79.45417445,"26,738","24,493","2,245",8.4,6117.152743,31361,46469
Washington,Clark,215.1304529,54.73052332,0.8843177240000001,1.05189291,79.72059829,"209,309","194,621","14,688",7.0,4637.104836,165133,61741
Washington,Cowlitz,248.223993,80.45665572,1.100926659,1.087068814,77.51075036,"43,617","40,102","3,515",8.1,7816.001956999998,40036,42223
Washington,Franklin,222.139268,55.96512765,0.8723543440000001,1.253616484,79.90320994,"38,056","34,886","3,170",8.3,4207.617743,25542,57890
Washington,Grant,245.1442705,60.50537301,0.554181949,0.967853902,78.77164325,"44,845","41,513","3,332",7.4,8709.511343,29758,51949
Washington,Grays Harbor,275.2460019,80.8264035,1.09094992,1.132822376,76.60969507,"27,202","24,451","2,751",10.1,6376.811594,27401,43356
Washington,Island,184.6424885,37.96477869,0.893838894,0.91607728,81.93226612,"31,725","29,630","2,095",6.6,2881.206241,32464,59934
Washington,King,197.5001017,37.32694858,1.942604617,0.94481003,81.36659433,"1,158,195","1,103,941","54,254",4.7,9683.339924,825188,75834
Washington,Kitsap,216.6728017,58.007423,0.736959754,1.29321285,79.65768258,"113,577","106,632","6,945",6.1,6200.425539,95249,61794
Washington,Lewis,265.9032323,59.28798335,0.687133861,1.147856351,78.07228643,"30,544","27,780","2,764",9.0,5790.106934,29969,43575
Washington,Pierce,248.1866282,58.71871375,1.061268289,1.039714269,78.72368147,"385,485","358,486","26,999",7.0,8564.626465000001,302388,60496
Washington,Skagit,203.1012319,49.89053613,0.7573004590000001,0.780618125,79.81867508,"56,490","52,399","4,091",7.2,7670.547001999998,45447,50558
Washington,Snohomish,220.402052,50.18121979,0.8145130209999999,1.115708174,80.15306818,"395,565","374,903","20,662",5.2,7338.019142,278683,71984
Washington,Spokane,231.7319898,63.11669814,0.980238317,1.249054642,78.89756321,"225,474","209,773","15,701",7.0,12226.32985,187603,50249
Washington,Thurston,210.3993214,55.30784575,0.8007971859999999,1.025015359,80.15508353,"123,392","115,391","8,001",6.5,5994.623151,103319,61609
Washington,Whatcom,210.3750677,46.10904339,0.935078025,0.880732253,80.97950546,"101,316","94,670","6,646",6.6,6933.152990000001,81973,53665
Washington,Yakima,270.10346489999995,51.80666108,1.062022746,1.06219199,78.43718754,"119,487","109,113","10,374",8.7,7120.813945,79700,44648
West Virginia,Berkeley,289.5469371000001,72.4294272,1.588962122,0.826832613,76.39360175,"52,512","49,628","2,884",5.5,3773.584906,41198,58754
West Virginia,Cabell,289.1093842,81.76091463,1.7215051140000002,1.246471903,75.11742126,"42,108","39,789","2,319",5.5,7356.530156,41147,34046
West Virginia,Harrison,310.4960828,85.89817729999999,0.687304268,1.92555452,75.93659567,"31,780","30,068","1,712",5.4,3239.197156,27787,41333
West Virginia,Kanawha,278.1539693,75.82883036,1.15962667,1.554607305,75.60597194,"88,618","83,393","5,225",5.9,9148.204944,80762,44186
West Virginia,Monongalia,259.5801033,63.46972125,0.947444141,1.310871855,79.14744995,"50,271","48,042","2,229",4.4,4165.42604,37575,41955
West Virginia,Raleigh,299.5407167,99.03991591,1.165274276,1.706137686,75.17071901,"31,198","28,953","2,245",7.2,8233.067109,30469,40561
West Virginia,Wood,360.3846043,74.52796894,0.749573739,1.340344347,76.56097079999998,"37,785","35,532","2,253",6.0,4240.077893,36214,42014
Wisconsin,Brown,233.1652003,47.35929125,0.629502589,0.769414345,80.59341583,"138,476","131,778","6,698",4.8,3629.639546,101533,53392
Wisconsin,Dane,199.0800122,42.95307031,0.71630595,0.771282097,81.14864308,"305,805","294,498","11,307",3.7,4905.586569,211842,61582
Wisconsin,Dodge,262.8980659,47.43407593,0.439258146,1.48700213,79.73092702,"47,540","44,988","2,552",5.4,2779.665625,33273,53139
Wisconsin,Eau Claire,213.6813001,54.32940406,0.4581794320000001,0.8503214590000001,80.57303912,"58,005","55,402","2,603",4.5,4253.131335,40277,47043
Wisconsin,Fond du Lac,235.5282302,46.22039351,0.343028389,0.7328447579999999,79.95007906,"57,127","54,321","2,806",4.9,3539.3103990000004,41938,51717
Wisconsin,Jefferson,220.62924680000003,42.95994448,0.38143938,0.977996948,80.18939537,"45,824","43,541","2,283",5.0,3217.426566,31607,55675
Wisconsin,Kenosha,284.6283357,70.24640012,0.778346313,0.840219215,78.22692898,"86,935","81,671","5,264",6.1,4471.7865729999985,61593,52787
Wisconsin,La Crosse,205.2161113,52.36708525,0.498301594,1.097379208,80.35106036,"66,710","63,804","2,906",4.4,4376.909032000001,46846,48872
Wisconsin,Manitowoc,230.3888206,45.9954925,0.434580681,1.57392221,80.22177266,"42,572","40,000","2,572",6.0,3964.626391,33272,45136
Wisconsin,Marathon,189.5517954,48.43239091,0.422555067,0.908723911,80.62320412,"73,176","69,492","3,684",5.0,2915.072914,54739,53300
Wisconsin,Milwaukee,272.24535430000003,53.45373288,2.286451189,1.567394124,77.65906469,"478,784","445,882","32,902",6.9,10215.76637,382382,42765
Wisconsin,Outagamie,212.3882601,46.62761832,0.387955461,0.8030559820000001,81.06216031,"101,310","96,489","4,821",4.8,3541.580472,71492,58118
Wisconsin,Ozaukee,219.6545471,39.04046041,0.28638683800000003,1.03129834,82.13164931,"47,955","45,926","2,029",4.2,1839.562631,34913,72103
Wisconsin,Portage,206.2600595,42.69995873,0.503384765,1.139438077,80.89147009,"39,305","37,117","2,188",5.6,3031.334667,27360,51399
Wisconsin,Racine,232.8872881,54.90288670000001,0.7685748579999999,1.534834417,78.98576904,"99,872","93,288","6,584",6.6,4960.7672189999985,75876,54525
