STUDYNO	EDITION	PART	IDNO	FIPS_ST	FIPS_CTY	CPOPARST	CPOPCRIM	AG_ARRST	AG_OFF	COVIND	VIOL	PROPERTY	MURDER	RAPE	ROBBERY	AGASSLT	BURGLRY	LARCENY	MVTHEFT	ARSON
9999	2	4	150	5	75	16839	16839	4	4	97.8176	29	250	2	4	0	23	118	130	2	3
9999	2	4	151	5	77	10646	10646	2	2	100	41	226	3	2	6	30	104	114	8	3
9999	2	4	152	5	79	13569	12442	3	2	100	21	135	1	1	2	17	81	52	2	1
9999	2	4	153	5	81	12771	12771	2	2	100	16	237	1	3	1	11	65	157	15	0
9999	2	4	154	5	83	22663	22663	3	3	100	50	520	0	4	3	43	169	324	27	5
9999	2	4	155	5	85	67006	63983	7	6	100	280	1773	0	35	11	234	714	979	80	5
9999	2	4	156	5	87	15872	13428	2	1	100	31	73	1	7	0	23	37	33	3	7
9999	2	4	157	5	89	16911	16911	3	3	100	40	276	0	7	0	33	103	170	3	8
9999	2	4	158	5	91	43720	30348	2	1	100	269	1894	2	25	66	176	476	1261	157	9
9999	2	4	159	5	93	46467	46467	8	8	99.2817	405	2270	7	41	56	301	779	1359	131	24
9999	2	4	160	5	95	8384	8384	3	3	88.7415	17	170	2	0	9	6	85	77	8	3
9999	2	4	161	5	97	9059	9059	1	1	100	5	20	1	0	0	4	11	9	0	0
9999	2	4	162	5	99	9112	9112	2	2	100	14	163	1	2	0	11	73	87	3	1
9999	2	4	163	5	101	8293	8293	1	1	100	25	128	1	3	0	21	46	78	4	5
9999	2	4	164	5	103	25566	25566	3	3	100	102	729	2	10	21	69	230	477	22	3
9999	2	4	165	5	105	10367	10367	2	2	100	38	111	0	7	0	31	77	34	0	0
9999	2	4	166	5	107	21223	13023	3	2	100	216	814	1	6	32	177	426	371	17	6
9999	2	4	167	5	109	10583	10583	3	3	100	11	118	0	0	0	11	55	59	4	0
9999	2	4	168	5	111	24720	24720	6	6	100	114	789	2	12	4	96	301	468	20	8
9999	2	4	169	5	113	20337	20337	2	2	100	57	386	3	8	5	41	130	247	9	3
9999	2	4	170	5	115	60830	60830	6	6	100	172	2088	1	29	14	128	521	1455	112	6
9999	2	4	171	5	117	8516	7832	4	3	100	10	111	1	3	2	4	45	56	10	1
9999	2	4	172	5	119	379980	379980	11	11	100	4367	26965	45	236	1138	2948	7688	17416	1861	151
9999	2	4	173	5	121	18203	18203	2	2	100	7	141	1	5	0	1	71	68	2	0
9999	2	4	174	5	123	26131	26131	2	2	100	133	1566	4	7	43	79	378	1149	39	12
