STUDYNO	EDITION	PART	IDNO	FIPS_ST	FIPS_CTY	SPOPARST	SPOPCRIM	CPOPCRIM	AG_ARRST	AG_OFF	COVIND	SINDEX	SMODINDX	SMURDER	SRAPE	SROBBERY	SAGASSLT	SBURGLRY	SLARCENY	SMVTHEFT	SARSON
9999	1	8	232	6	89	38041430	38024318	179423	8	6	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	233	6	91	38041430	38024318	3142	3	3	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	234	6	93	38041430	38024318	44920	15	13	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	235	6	95	38041430	38024318	420333	13	11	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	236	6	97	38041430	38024318	492642	18	17	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	237	6	99	38041430	38024318	523330	16	13	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	238	6	101	38041430	38024318	95799	4	4	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	239	6	103	38041430	38024318	64191	5	5	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	240	6	105	38041430	38024318	13850	3	3	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	241	6	107	38041430	38024318	453419	14	12	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	242	6	109	38041430	38024318	55463	4	3	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	243	6	111	38041430	38024318	839484	21	18	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	244	6	113	38041430	38024318	203928	10	8	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	245	6	115	38041430	38024318	73251	6	5	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	246	6	777	38041430	38024318	0	4	3	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	247	8	1	5187582	5145113	457686	8	10	100	1	1	0	0	0	1	0	1	0	0
9999	1	8	248	8	3	5187582	5145113	15927	3	2	43.1092	0	0	0	0	0	0	0	0	0	0
9999	1	8	249	8	5	5187582	5145113	593040	13	12	100	1	2	0	0	0	1	0	1	1	0
9999	1	8	250	8	7	5187582	5145113	12179	3	2	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	251	8	9	5187582	5145113	3848	4	4	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	252	8	11	5187582	5145113	6336	1	1	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	253	8	13	5187582	5145113	302030	8	7	96.3416	1	1	0	0	0	1	0	0	0	0
9999	1	8	254	8	14	5187582	5145113	58145	1	1	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	255	8	15	5187582	5145113	18180	3	3	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	256	8	17	5187582	5145113	1902	1	1	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	257	8	19	5187582	5145113	9137	4	4	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	258	8	21	5187582	5145113	8406	1	1	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	259	8	23	5187582	5145113	3713	1	1	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	260	8	25	5187582	5145113	5815	1	1	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	261	8	27	5187582	5145113	4263	1	1	100	0	0	0	0	0	0	0	0	0	0
9999	1	8	262	8	29	5187582	5145113	30872	5	5	98.5923	0	0	0	0	0	0	0	0	0	0
9999	1	8	263	8	31	5187582	5145113	628545	5	3	100	1	2	0	0	0	1	0	1	1	0
9999	1	8	264	8	33	5187582	5145113	2084	1	1	100	0	0	0	0	0	0	0	0	0	0
